Freq.	V(N004,N006)/-I(V2)-V(n006)/I(R5)
1.24451461177138e-001	(-3.90542183436870e+001dB,5.91525928891237e-003°)
1.24738351424294e-001	(-3.90542183434733e+001dB,5.92889536977061e-003°)
1.25025903021771e-001	(-3.90542183432587e+001dB,5.94256288503635e-003°)
1.25314117494141e-001	(-3.90542183430430e+001dB,5.95626190718299e-003°)
1.25602996369487e-001	(-3.90542183428264e+001dB,5.96999250883144e-003°)
1.25892541179416e-001	(-3.90542183426088e+001dB,5.98375476278911e-003°)
1.26182753459066e-001	(-3.90542183423901e+001dB,5.99754874201563e-003°)
1.26473634747114e-001	(-3.90542183421705e+001dB,6.01137451964867e-003°)
1.26765186585784e-001	(-3.90542183419498e+001dB,6.02523216899037e-003°)
1.27057410520853e-001	(-3.90542183417281e+001dB,6.03912176351217e-003°)
1.27350308101665e-001	(-3.90542183415054e+001dB,6.05304337685456e-003°)
1.27643880881134e-001	(-3.90542183412817e+001dB,6.06699708283017e-003°)
1.27938130415752e-001	(-3.90542183410569e+001dB,6.08098295541816e-003°)
1.28233058265601e-001	(-3.90542183408311e+001dB,6.09500106877298e-003°)
1.28528665994361e-001	(-3.90542183406043e+001dB,6.10905149721525e-003°)
1.28824955169313e-001	(-3.90542183403764e+001dB,6.12313431523869e-003°)
1.29121927361353e-001	(-3.90542183401474e+001dB,6.13724959750974e-003°)
1.29419584144998e-001	(-3.90542183399174e+001dB,6.15139741886813e-003°)
1.29717927098395e-001	(-3.90542183396864e+001dB,6.16557785432015e-003°)
1.30016957803328e-001	(-3.90542183394542e+001dB,6.17979097905267e-003°)
1.30316677845229e-001	(-3.90542183392210e+001dB,6.19403686841939e-003°)
1.30617088813183e-001	(-3.90542183389867e+001dB,6.20831559795520e-003°)
1.30918192299940e-001	(-3.90542183387514e+001dB,6.22262724335728e-003°)
1.31219989901919e-001	(-3.90542183385149e+001dB,6.23697188051160e-003°)
1.31522483219223e-001	(-3.90542183382774e+001dB,6.25134958546728e-003°)
1.31825673855640e-001	(-3.90542183380388e+001dB,6.26576043445380e-003°)
1.32129563418657e-001	(-3.90542183377990e+001dB,6.28020450387812e-003°)
1.32434153519466e-001	(-3.90542183375582e+001dB,6.29468187032280e-003°)
1.32739445772973e-001	(-3.90542183373162e+001dB,6.30919261054001e-003°)
1.33045441797808e-001	(-3.90542183370732e+001dB,6.32373680146937e-003°)
1.33352143216331e-001	(-3.90542183368290e+001dB,6.33831452022021e-003°)
1.33659551654643e-001	(-3.90542183365836e+001dB,6.35292584408192e-003°)
1.33967668742593e-001	(-3.90542183363372e+001dB,6.36757085052249e-003°)
1.34276496113785e-001	(-3.90542183360896e+001dB,6.38224961719076e-003°)
1.34586035405594e-001	(-3.90542183358409e+001dB,6.39696222190832e-003°)
1.34896288259164e-001	(-3.90542183355910e+001dB,6.41170874268276e-003°)
1.35207256319427e-001	(-3.90542183353400e+001dB,6.42648925769527e-003°)
1.35518941235103e-001	(-3.90542183350878e+001dB,6.44130384531528e-003°)
1.35831344658714e-001	(-3.90542183348344e+001dB,6.45615258408623e-003°)
1.36144468246594e-001	(-3.90542183345799e+001dB,6.47103555273134e-003°)
1.36458313658891e-001	(-3.90542183343242e+001dB,6.48595283016527e-003°)
1.36772882559584e-001	(-3.90542183340673e+001dB,6.50090449547298e-003°)
1.37088176616484e-001	(-3.90542183338092e+001dB,6.51589062792702e-003°)
1.37404197501250e-001	(-3.90542183335500e+001dB,6.53091130698354e-003°)
1.37720946889394e-001	(-3.90542183332895e+001dB,6.54596661228127e-003°)
1.38038426460287e-001	(-3.90542183330279e+001dB,6.56105662363943e-003°)
1.38356637897177e-001	(-3.90542183327650e+001dB,6.57618142106739e-003°)
1.38675582887188e-001	(-3.90542183325009e+001dB,6.59134108475484e-003°)
1.38995263121334e-001	(-3.90542183322356e+001dB,6.60653569507184e-003°)
1.39315680294529e-001	(-3.90542183319691e+001dB,6.62176533258394e-003°)
1.39636836105593e-001	(-3.90542183317014e+001dB,6.63703007803383e-003°)
1.39958732257261e-001	(-3.90542183314324e+001dB,6.65233001235761e-003°)
1.40281370456195e-001	(-3.90542183311621e+001dB,6.66766521667179e-003°)
1.40604752412990e-001	(-3.90542183308907e+001dB,6.68303577228059e-003°)
1.40928879842186e-001	(-3.90542183306179e+001dB,6.69844176067770e-003°)
1.41253754462274e-001	(-3.90542183303439e+001dB,6.71388326354471e-003°)
1.41579377995707e-001	(-3.90542183300687e+001dB,6.72936036275350e-003°)
1.41905752168908e-001	(-3.90542183297922e+001dB,6.74487314035753e-003°)
1.42232878712281e-001	(-3.90542183295144e+001dB,6.76042167860985e-003°)
1.42560759360218e-001	(-3.90542183292353e+001dB,6.77600605993928e-003°)
1.42889395851109e-001	(-3.90542183289549e+001dB,6.79162636697714e-003°)
1.43218789927353e-001	(-3.90542183286732e+001dB,6.80728268254253e-003°)
1.43548943335364e-001	(-3.90542183283903e+001dB,6.82297508964286e-003°)
1.43879857825583e-001	(-3.90542183281060e+001dB,6.83870367147538e-003°)
1.44211535152486e-001	(-3.90542183278204e+001dB,6.85446851143028e-003°)
1.44543977074591e-001	(-3.90542183275335e+001dB,6.87026969309558e-003°)
1.44877185354475e-001	(-3.90542183272453e+001dB,6.88610730024589e-003°)
1.45211161758773e-001	(-3.90542183269557e+001dB,6.90198141684931e-003°)
1.45545908058195e-001	(-3.90542183266648e+001dB,6.91789212706978e-003°)
1.45881426027534e-001	(-3.90542183263726e+001dB,6.93383951526368e-003°)
1.46217717445671e-001	(-3.90542183260790e+001dB,6.94982366598333e-003°)
1.46554784095590e-001	(-3.90542183257841e+001dB,6.96584466397666e-003°)
1.46892627764385e-001	(-3.90542183254878e+001dB,6.98190259418115e-003°)
1.47231250243271e-001	(-3.90542183251901e+001dB,6.99799754173737e-003°)
1.47570653327588e-001	(-3.90542183248911e+001dB,7.01412959197852e-003°)
1.47910838816819e-001	(-3.90542183245907e+001dB,7.03029883043699e-003°)
1.48251808514594e-001	(-3.90542183242888e+001dB,7.04650534283665e-003°)
1.48593564228699e-001	(-3.90542183239856e+001dB,7.06274921510329e-003°)
1.48936107771090e-001	(-3.90542183236810e+001dB,7.07903053336167e-003°)
1.49279440957898e-001	(-3.90542183233750e+001dB,7.09534938393494e-003°)
1.49623565609442e-001	(-3.90542183230676e+001dB,7.11170585334406e-003°)
1.49968483550236e-001	(-3.90542183227588e+001dB,7.12810002830742e-003°)
1.50314196609001e-001	(-3.90542183224485e+001dB,7.14453199574474e-003°)
1.50660706618673e-001	(-3.90542183221368e+001dB,7.16100184278074e-003°)
1.51008015416413e-001	(-3.90542183218237e+001dB,7.17750965672903e-003°)
1.51356124843619e-001	(-3.90542183214205e+001dB,7.19405552504592e-003°)
1.51705036745932e-001	(-3.90542183211045e+001dB,7.21063953560465e-003°)
1.52054752973248e-001	(-3.90542183208756e+001dB,7.22726177632756e-003°)
1.52405275379728e-001	(-3.90542183204680e+001dB,7.24392233511850e-003°)
1.52756605823806e-001	(-3.90542183201476e+001dB,7.26062130054300e-003°)
1.53108746168202e-001	(-3.90542183198257e+001dB,7.27735876105485e-003°)
1.53461698279928e-001	(-3.90542183195023e+001dB,7.29413480539539e-003°)
1.53815464030302e-001	(-3.90542183191774e+001dB,7.31094952251185e-003°)
1.54170045294954e-001	(-3.90542183188510e+001dB,7.32780300155378e-003°)
1.54525443953840e-001	(-3.90542183185231e+001dB,7.34469533187620e-003°)
1.54881661891247e-001	(-3.90542183181937e+001dB,7.36162660303707e-003°)
1.55238700995807e-001	(-3.90542183178628e+001dB,7.37859690481061e-003°)
1.55596563160506e-001	(-3.90542183175304e+001dB,7.39560632716884e-003°)
1.55955250282694e-001	(-3.90542183171964e+001dB,7.41265496029261e-003°)
1.56314764264094e-001	(-3.90542183168608e+001dB,7.42974289457635e-003°)
1.56675107010813e-001	(-3.90542183165238e+001dB,7.44687022061131e-003°)
1.57036280433354e-001	(-3.90542183161851e+001dB,7.46403702921349e-003°)
1.57398286446620e-001	(-3.90542183158449e+001dB,7.48124341139115e-003°)
1.57761126969933e-001	(-3.90542183155031e+001dB,7.49848945837805e-003°)
1.58124803927037e-001	(-3.90542183151598e+001dB,7.51577526160478e-003°)
1.58489319246110e-001	(-3.90542183148149e+001dB,7.53310091272142e-003°)
1.58854674859776e-001	(-3.90542183144684e+001dB,7.55046650358993e-003°)
1.59220872705115e-001	(-3.90542183141202e+001dB,7.56787212627879e-003°)
1.59587914723672e-001	(-3.90542183137705e+001dB,7.58531787306928e-003°)
1.59955802861465e-001	(-3.90542183134192e+001dB,7.60280383645764e-003°)
1.60324539069002e-001	(-3.90542183130662e+001dB,7.62033010915301e-003°)
1.60694125301286e-001	(-3.90542183127116e+001dB,7.63789678407950e-003°)
1.61064563517825e-001	(-3.90542183123554e+001dB,7.65550395437339e-003°)
1.61435855682647e-001	(-3.90542183119975e+001dB,7.67315171338255e-003°)
1.61808003764305e-001	(-3.90542183116380e+001dB,7.69084015467912e-003°)
1.62181009735891e-001	(-3.90542183112768e+001dB,7.70856937204001e-003°)
1.62554875575047e-001	(-3.90542183109139e+001dB,7.72633945946853e-003°)
1.62929603263970e-001	(-3.90542183105494e+001dB,7.74415051117533e-003°)
1.63305194789432e-001	(-3.90542183101832e+001dB,7.76200262159599e-003°)
1.63681652142779e-001	(-3.90542183098153e+001dB,7.77989588538091e-003°)
1.64058977319952e-001	(-3.90542183094457e+001dB,7.79783039739488e-003°)
1.64437172321491e-001	(-3.90542183090744e+001dB,7.81580625273107e-003°)
1.64816239152549e-001	(-3.90542183087013e+001dB,7.83382354668891e-003°)
1.65196179822900e-001	(-3.90542183083266e+001dB,7.85188237480110e-003°)
1.65576996346951e-001	(-3.90542183079501e+001dB,7.86998283280687e-003°)
1.65958690743754e-001	(-3.90542183075719e+001dB,7.88812501667429e-003°)
1.66341265037015e-001	(-3.90542183071920e+001dB,7.90630902259632e-003°)
1.66724721255104e-001	(-3.90542183068103e+001dB,7.92453494698058e-003°)
1.67109061431069e-001	(-3.90542183064268e+001dB,7.94280288645420e-003°)
1.67494287602642e-001	(-3.90542183060415e+001dB,7.96111293787682e-003°)
1.67880401812254e-001	(-3.90542183056545e+001dB,7.97946519832926e-003°)
1.68267406107045e-001	(-3.90542183052657e+001dB,7.99785976510650e-003°)
1.68655302538872e-001	(-3.90542183048751e+001dB,8.01629673573840e-003°)
1.69044093164324e-001	(-3.90542183044827e+001dB,8.03477620797509e-003°)
1.69433780044731e-001	(-3.90542183040885e+001dB,8.05329827979508e-003°)
1.69824365246172e-001	(-3.90542183036925e+001dB,8.07186304939523e-003°)
1.70215850839493e-001	(-3.90542183032946e+001dB,8.09047061520938e-003°)
1.70608238900310e-001	(-3.90542183028949e+001dB,8.10912107588999e-003°)
1.71001531509027e-001	(-3.90542183024934e+001dB,8.12781453032108e-003°)
1.71395730750840e-001	(-3.90542183020900e+001dB,8.14655107761486e-003°)
1.71790838715757e-001	(-3.90542183016847e+001dB,8.16533081711004e-003°)
1.72186857498599e-001	(-3.90542183012776e+001dB,8.18415384837168e-003°)
1.72583789199018e-001	(-3.90542183008686e+001dB,8.20302027119937e-003°)
1.72981635921508e-001	(-3.90542183003691e+001dB,8.22193018554195e-003°)
1.73380399775412e-001	(-3.90542183000449e+001dB,8.24088369190216e-003°)
1.73780082874935e-001	(-3.90542182996302e+001dB,8.25988089051968e-003°)
1.74180687339159e-001	(-3.90542182991250e+001dB,8.27892188211956e-003°)
1.74582215292048e-001	(-3.90542182987065e+001dB,8.29800676781875e-003°)
1.74984668862463e-001	(-3.90542182982860e+001dB,8.31713564872395e-003°)
1.75388050184174e-001	(-3.90542182979522e+001dB,8.33630862633342e-003°)
1.75792361395867e-001	(-3.90542182974392e+001dB,8.35552580205027e-003°)
1.76197604641161e-001	(-3.90542182970129e+001dB,8.37478727801574e-003°)
1.76603782068614e-001	(-3.90542182965846e+001dB,8.39409315626873e-003°)
1.77010895831740e-001	(-3.90542182961544e+001dB,8.41344353916415e-003°)
1.77418948089014e-001	(-3.90542182957221e+001dB,8.43283852929553e-003°)
1.77827941003890e-001	(-3.90542182952879e+001dB,8.45227822949715e-003°)
1.78237876744807e-001	(-3.90542182948516e+001dB,8.47176274283367e-003°)
1.78648757485203e-001	(-3.90542182944134e+001dB,8.49129217260769e-003°)
1.79060585403527e-001	(-3.90542182939731e+001dB,8.51086662236917e-003°)
1.79473362683250e-001	(-3.90542182935308e+001dB,8.53048619589199e-003°)
1.79887091512876e-001	(-3.90542182930864e+001dB,8.55015099720214e-003°)
1.80301774085954e-001	(-3.90542182926400e+001dB,8.56986113055856e-003°)
1.80717412601090e-001	(-3.90542182921915e+001dB,8.58961670046375e-003°)
1.81134009261958e-001	(-3.90542182917410e+001dB,8.60941781165940e-003°)
1.81551566277311e-001	(-3.90542182912884e+001dB,8.62926456912621e-003°)
1.81970085860996e-001	(-3.90542182908337e+001dB,8.64915707809562e-003°)
1.82389570231961e-001	(-3.90542182902883e+001dB,8.66909544394023e-003°)
1.82810021614272e-001	(-3.90542182898294e+001dB,8.68907977255154e-003°)
1.83231442237119e-001	(-3.90542182894569e+001dB,8.70911016988755e-003°)
1.83653834334832e-001	(-3.90542182889938e+001dB,8.72918674196448e-003°)
1.84077200146893e-001	(-3.90542182884399e+001dB,8.74930959522721e-003°)
1.84501541917945e-001	(-3.90542182879724e+001dB,8.76947883654924e-003°)
1.84926861897805e-001	(-3.90542182875028e+001dB,8.78969457277022e-003°)
1.85353162341479e-001	(-3.90542182870311e+001dB,8.80995691107372e-003°)
1.85780445509167e-001	(-3.90542182865571e+001dB,8.83026595888914e-003°)
1.86208713666284e-001	(-3.90542182860810e+001dB,8.85062182389152e-003°)
1.86637969083464e-001	(-3.90542182856027e+001dB,8.87102461400455e-003°)
1.87068214036577e-001	(-3.90542182851221e+001dB,8.89147443740904e-003°)
1.87499450806739e-001	(-3.90542182846393e+001dB,8.91197140251958e-003°)
1.87931681680324e-001	(-3.90542182841544e+001dB,8.93251561801691e-003°)
1.88364908948977e-001	(-3.90542182836671e+001dB,8.95310719281568e-003°)
1.88799134909627e-001	(-3.90542182831776e+001dB,8.97374623609400e-003°)
1.89234361864495e-001	(-3.90542182826859e+001dB,8.99443285728001e-003°)
1.89670592121112e-001	(-3.90542182821919e+001dB,9.01516716604564e-003°)
1.90107827992327e-001	(-3.90542182816956e+001dB,9.03594927233529e-003°)
1.90546071796322e-001	(-3.90542182811970e+001dB,9.05677928632010e-003°)
1.90985325856621e-001	(-3.90542182806962e+001dB,9.07765731844475e-003°)
1.91425592502106e-001	(-3.90542182801930e+001dB,9.09858347940344e-003°)
1.91866874067026e-001	(-3.90542182796875e+001dB,9.11955788013907e-003°)
1.92309172891013e-001	(-3.90542182791796e+001dB,9.14058063186314e-003°)
1.92752491319091e-001	(-3.90542182786694e+001dB,9.16165184602901e-003°)
1.93196831701689e-001	(-3.90542182781569e+001dB,9.18277163436174e-003°)
1.93642196394658e-001	(-3.90542182776420e+001dB,9.20394010882979e-003°)
1.94088587759275e-001	(-3.90542182771247e+001dB,9.22515738166629e-003°)
1.94536008162263e-001	(-3.90542182766050e+001dB,9.24642356536973e-003°)
1.94984459975802e-001	(-3.90542182760829e+001dB,9.26773877268523e-003°)
1.95433945577536e-001	(-3.90542182755584e+001dB,9.28910311662823e-003°)
1.95884467350596e-001	(-3.90542182750315e+001dB,9.31051671046542e-003°)
1.96336027683602e-001	(-3.90542182745022e+001dB,9.33197966773083e-003°)
1.96788628970681e-001	(-3.90542182739704e+001dB,9.35349210222167e-003°)
1.97242273611482e-001	(-3.90542182734362e+001dB,9.37505412799106e-003°)
1.97696964011183e-001	(-3.90542182728995e+001dB,9.39666585936445e-003°)
1.98152702580507e-001	(-3.90542182723603e+001dB,9.41832741091746e-003°)
1.98609491735734e-001	(-3.90542182718186e+001dB,9.44003889750570e-003°)
1.99067333898716e-001	(-3.90542182712745e+001dB,9.46180043423251e-003°)
1.99526231496885e-001	(-3.90542182706392e+001dB,9.48361213638193e-003°)
1.99986186963271e-001	(-3.90542182701786e+001dB,9.50547411989139e-003°)
2.00447202736513e-001	(-3.90542182696268e+001dB,9.52738650037702e-003°)
2.00909281260870e-001	(-3.90542182689840e+001dB,9.54934939401873e-003°)
2.01372424986236e-001	(-3.90542182685157e+001dB,9.57136291754905e-003°)
2.01836636368153e-001	(-3.90542182678677e+001dB,9.59342718729399e-003°)
2.02301917867824e-001	(-3.90542182673058e+001dB,9.61554232053043e-003°)
2.02768271952125e-001	(-3.90542182667412e+001dB,9.63770843440986e-003°)
2.03235701093619e-001	(-3.90542182661740e+001dB,9.65992564645620e-003°)
2.03704207770569e-001	(-3.90542182656041e+001dB,9.68219407446345e-003°)
2.04173794466950e-001	(-3.90542182650317e+001dB,9.70451383649477e-003°)
2.04644463672464e-001	(-3.90542182644566e+001dB,9.72688505088595e-003°)
2.05116217882553e-001	(-3.90542182638789e+001dB,9.74930783625255e-003°)
2.05589059598411e-001	(-3.90542182632985e+001dB,9.77178231147547e-003°)
2.06062991326997e-001	(-3.90542182627154e+001dB,9.79430859571167e-003°)
2.06538015581050e-001	(-3.90542182621296e+001dB,9.81688680838979e-003°)
2.07014134879101e-001	(-3.90542182615411e+001dB,9.83951706922240e-003°)
2.07491351745488e-001	(-3.90542182609499e+001dB,9.86219949819089e-003°)
2.07969668710366e-001	(-3.90542182603560e+001dB,9.88493421555454e-003°)
2.08449088309725e-001	(-3.90542182597593e+001dB,9.90772134185565e-003°)
2.08929613085400e-001	(-3.90542182591599e+001dB,9.93056099790026e-003°)
2.09411245585086e-001	(-3.90542182585577e+001dB,9.95345330478570e-003°)
2.09893988362349e-001	(-3.90542182579528e+001dB,9.97639838388731e-003°)
2.10377843976644e-001	(-3.90542182573450e+001dB,9.99939635685602e-003°)
2.10862814993325e-001	(-3.90542182567344e+001dB,1.00224473456268e-002°)
2.11348903983661e-001	(-3.90542182561210e+001dB,1.00455514724076e-002°)
2.11836113524847e-001	(-3.90542182555048e+001dB,1.00687088596986e-002°)
2.12324446200018e-001	(-3.90542182548858e+001dB,1.00919196302782e-002°)
2.12813904598267e-001	(-3.90542182542639e+001dB,1.01151839072073e-002°)
2.13304491314654e-001	(-3.90542182536391e+001dB,1.01385018138283e-002°)
2.13796208950219e-001	(-3.90542182530114e+001dB,1.01618734737709e-002°)
2.14289060112002e-001	(-3.90542182523808e+001dB,1.01852990109547e-002°)
2.14783047413050e-001	(-3.90542182517473e+001dB,1.02087785495730e-002°)
2.15278173472433e-001	(-3.90542182511109e+001dB,1.02323122141140e-002°)
2.15774440915263e-001	(-3.90542182504716e+001dB,1.02559001293524e-002°)
2.16271852372698e-001	(-3.90542182498293e+001dB,1.02795424203442e-002°)
2.16770410481966e-001	(-3.90542182491841e+001dB,1.03032392124461e-002°)
2.17270117886371e-001	(-3.90542182485358e+001dB,1.03269906312886e-002°)
2.17770977235312e-001	(-3.90542182478846e+001dB,1.03507968028057e-002°)
2.18272991184296e-001	(-3.90542182471418e+001dB,1.03746578531084e-002°)
2.18776162394951e-001	(-3.90542182465731e+001dB,1.03985739090153e-002°)
2.19280493535041e-001	(-3.90542182458243e+001dB,1.04225450969121e-002°)
2.19785987278478e-001	(-3.90542182451609e+001dB,1.04465715442041e-002°)
2.20292646305342e-001	(-3.90542182444945e+001dB,1.04706533781757e-002°)
2.20800473301886e-001	(-3.90542182438250e+001dB,1.04947907265050e-002°)
2.21309470960560e-001	(-3.90542182431525e+001dB,1.05189837171658e-002°)
2.21819641980018e-001	(-3.90542182424768e+001dB,1.05432324784267e-002°)
2.22330989065136e-001	(-3.90542182417980e+001dB,1.05675371388468e-002°)
2.22843514927026e-001	(-3.90542182411161e+001dB,1.05918978272907e-002°)
2.23357222283049e-001	(-3.90542182404310e+001dB,1.06163146729242e-002°)
2.23872113856830e-001	(-3.90542182397428e+001dB,1.06407878051956e-002°)
2.24388192378272e-001	(-3.90542182390514e+001dB,1.06653173538548e-002°)
2.24905460583574e-001	(-3.90542182382683e+001dB,1.06899034488526e-002°)
2.25423921215239e-001	(-3.90542182375705e+001dB,1.07145462207591e-002°)
2.25943577022094e-001	(-3.90542182368694e+001dB,1.07392458001143e-002°)
2.26464430759302e-001	(-3.90542182361652e+001dB,1.07640023178821e-002°)
2.26986485188378e-001	(-3.90542182354577e+001dB,1.07888159053124e-002°)
