v1	-I(Rl)
1.199999999999998e+001	1.839421e+000
1.209999999999998e+001	1.856951e+000
1.219999999999997e+001	1.874485e+000
1.229999999999997e+001	1.891014e+000
1.239999999999997e+001	1.891110e+000
1.249999999999997e+001	1.891205e+000
1.259999999999997e+001	1.891300e+000
1.269999999999997e+001	1.891395e+000
1.279999999999997e+001	1.891490e+000
1.289999999999997e+001	1.891585e+000
1.299999999999997e+001	1.891680e+000
1.309999999999997e+001	1.891774e+000
1.319999999999997e+001	1.891868e+000
1.329999999999997e+001	1.891962e+000
1.339999999999997e+001	1.892056e+000
1.349999999999997e+001	1.892150e+000
1.359999999999997e+001	1.892244e+000
1.369999999999997e+001	1.892337e+000
1.379999999999997e+001	1.892431e+000
1.389999999999997e+001	1.892524e+000
1.399999999999997e+001	1.892617e+000
1.409999999999997e+001	1.892710e+000
1.419999999999997e+001	1.892803e+000
1.429999999999997e+001	1.892895e+000
1.439999999999997e+001	1.892988e+000
1.449999999999997e+001	1.893080e+000
1.459999999999997e+001	1.893173e+000
1.469999999999997e+001	1.893265e+000
1.479999999999997e+001	1.893357e+000
1.489999999999997e+001	1.893448e+000
1.499999999999996e+001	1.893540e+000
1.509999999999996e+001	1.893632e+000
1.519999999999996e+001	1.893723e+000
1.529999999999996e+001	1.893814e+000
1.539999999999996e+001	1.893905e+000
1.549999999999996e+001	1.893996e+000
1.559999999999996e+001	1.894087e+000
1.569999999999996e+001	1.894178e+000
1.579999999999996e+001	1.894268e+000
1.589999999999996e+001	1.894359e+000
1.599999999999996e+001	1.894449e+000
1.609999999999996e+001	1.894539e+000
1.619999999999996e+001	1.894629e+000
1.629999999999997e+001	1.894719e+000
1.639999999999997e+001	1.894809e+000
1.649999999999997e+001	1.894898e+000
1.659999999999997e+001	1.894988e+000
1.669999999999997e+001	1.895077e+000
1.679999999999997e+001	1.895166e+000
1.689999999999997e+001	1.895255e+000
1.699999999999998e+001	1.895344e+000
1.709999999999998e+001	1.895433e+000
1.719999999999998e+001	1.895522e+000
1.729999999999998e+001	1.895610e+000
1.739999999999998e+001	1.895699e+000
1.749999999999998e+001	1.895787e+000
1.759999999999998e+001	1.895875e+000
1.769999999999999e+001	1.895963e+000
1.779999999999999e+001	1.896051e+000
1.789999999999999e+001	1.896139e+000
1.799999999999999e+001	1.896227e+000
1.809999999999999e+001	1.896314e+000
1.819999999999999e+001	1.896402e+000
1.829999999999999e+001	1.896489e+000
1.840000000000000e+001	1.896576e+000
1.850000000000000e+001	1.896663e+000
1.860000000000000e+001	1.896750e+000
1.870000000000000e+001	1.896837e+000
1.880000000000000e+001	1.896923e+000
1.890000000000000e+001	1.897010e+000
1.900000000000000e+001	1.897096e+000
1.910000000000001e+001	1.897182e+000
1.920000000000001e+001	1.897269e+000
1.930000000000001e+001	1.897355e+000
1.940000000000001e+001	1.897441e+000
1.950000000000001e+001	1.897526e+000
1.960000000000001e+001	1.897612e+000
1.970000000000001e+001	1.897698e+000
1.980000000000002e+001	1.897783e+000
1.990000000000002e+001	1.897868e+000
2.000000000000002e+001	1.897953e+000
2.010000000000002e+001	1.898039e+000
2.020000000000002e+001	1.898123e+000
2.030000000000002e+001	1.898208e+000
2.040000000000002e+001	1.898293e+000
2.050000000000003e+001	1.898378e+000
2.060000000000003e+001	1.898462e+000
2.070000000000003e+001	1.898546e+000
2.080000000000003e+001	1.898631e+000
2.090000000000003e+001	1.898715e+000
2.100000000000003e+001	1.898799e+000
2.110000000000003e+001	1.898883e+000
2.120000000000004e+001	1.898966e+000
2.130000000000004e+001	1.899050e+000
2.140000000000004e+001	1.899134e+000
2.150000000000004e+001	1.899217e+000
2.160000000000004e+001	1.899300e+000
2.170000000000004e+001	1.899384e+000
2.180000000000004e+001	1.899467e+000
2.190000000000005e+001	1.899550e+000
2.200000000000005e+001	1.899632e+000
2.210000000000005e+001	1.899715e+000
2.220000000000005e+001	1.899798e+000
2.230000000000005e+001	1.899880e+000
2.240000000000005e+001	1.899963e+000
2.250000000000005e+001	1.900045e+000
2.260000000000006e+001	1.900127e+000
2.270000000000006e+001	1.900209e+000
2.280000000000006e+001	1.900291e+000
2.290000000000006e+001	1.900373e+000
2.300000000000006e+001	1.900455e+000
2.310000000000006e+001	1.900537e+000
2.320000000000006e+001	1.900618e+000
2.330000000000007e+001	1.900699e+000
2.340000000000007e+001	1.900781e+000
2.350000000000007e+001	1.900862e+000
2.360000000000007e+001	1.900943e+000
2.370000000000007e+001	1.901024e+000
2.380000000000007e+001	1.901105e+000
2.390000000000007e+001	1.901186e+000
2.400000000000008e+001	1.901266e+000
2.410000000000008e+001	1.901347e+000
2.420000000000008e+001	1.901428e+000
2.430000000000008e+001	1.901508e+000
2.440000000000008e+001	1.901588e+000
2.450000000000008e+001	1.901668e+000
2.460000000000008e+001	1.901748e+000
2.470000000000009e+001	1.901828e+000
2.480000000000009e+001	1.901908e+000
2.490000000000009e+001	1.901988e+000
2.500000000000009e+001	1.902067e+000
2.510000000000009e+001	1.902147e+000
2.520000000000009e+001	1.902226e+000
2.530000000000009e+001	1.902306e+000
2.540000000000010e+001	1.902385e+000
2.550000000000010e+001	1.902464e+000
2.560000000000010e+001	1.902543e+000
2.570000000000010e+001	1.902622e+000
2.580000000000010e+001	1.902701e+000
2.590000000000010e+001	1.902779e+000
2.600000000000010e+001	1.902858e+000
2.610000000000010e+001	1.902937e+000
2.620000000000011e+001	1.903015e+000
2.630000000000011e+001	1.903093e+000
2.640000000000011e+001	1.903172e+000
2.650000000000011e+001	1.903250e+000
2.660000000000011e+001	1.903328e+000
2.670000000000011e+001	1.903406e+000
2.680000000000011e+001	1.903483e+000
2.690000000000012e+001	1.903561e+000
2.700000000000012e+001	1.903639e+000
2.710000000000012e+001	1.903716e+000
2.720000000000012e+001	1.903794e+000
2.730000000000012e+001	1.903871e+000
2.740000000000012e+001	1.903948e+000
2.750000000000012e+001	1.904025e+000
2.760000000000013e+001	1.904102e+000
2.770000000000013e+001	1.904179e+000
2.780000000000013e+001	1.904256e+000
2.790000000000013e+001	1.904333e+000
2.800000000000013e+001	1.904409e+000
2.810000000000013e+001	1.904486e+000
2.820000000000013e+001	1.904562e+000
2.830000000000014e+001	1.904639e+000
2.840000000000014e+001	1.904715e+000
2.850000000000014e+001	1.904791e+000
2.860000000000014e+001	1.904867e+000
2.870000000000014e+001	1.904943e+000
2.880000000000014e+001	1.905019e+000
2.890000000000014e+001	1.905095e+000
2.900000000000015e+001	1.905171e+000
2.910000000000015e+001	1.905246e+000
2.920000000000015e+001	1.905322e+000
2.930000000000015e+001	1.905397e+000
2.940000000000015e+001	1.905473e+000
2.950000000000015e+001	1.905548e+000
2.960000000000015e+001	1.905623e+000
2.970000000000016e+001	1.905698e+000
2.980000000000016e+001	1.905773e+000
2.990000000000016e+001	1.905848e+000
3.000000000000000e+001	1.905923e+000
