Freq.	V(n008)
1.33967668742593e-001	(6.68923953515876e+001dB,-2.38946334510723e-002°)
1.34276496113785e-001	(6.68923953481017e+001dB,-2.39497162635537e-002°)
1.34586035405594e-001	(6.68923953445998e+001dB,-2.40049260549879e-002°)
1.34896288259164e-001	(6.68923953410817e+001dB,-2.40602631180909e-002°)
1.35207256319427e-001	(6.68923953375473e+001dB,-2.41157277462534e-002°)
1.35518941235103e-001	(6.68923953339967e+001dB,-2.41713202335439e-002°)
1.35831344658714e-001	(6.68923953304297e+001dB,-2.42270408747071e-002°)
1.36144468246594e-001	(6.68923953268461e+001dB,-2.42828899651678e-002°)
1.36458313658891e-001	(6.68923953232460e+001dB,-2.43388678010325e-002°)
1.36772882559584e-001	(6.68923953196294e+001dB,-2.43949746790894e-002°)
1.37088176616484e-001	(6.68923953159960e+001dB,-2.44512108968107e-002°)
1.37404197501250e-001	(6.68923953123463e+001dB,-2.45075767523566e-002°)
1.37720946889394e-001	(6.68923953086793e+001dB,-2.45640725445703e-002°)
1.38038426460287e-001	(6.68923953049953e+001dB,-2.46206985729872e-002°)
1.38356637897177e-001	(6.68923953012945e+001dB,-2.46774551378331e-002°)
1.38675582887188e-001	(6.68923952975765e+001dB,-2.47343425400249e-002°)
1.38995263121334e-001	(6.68923952938413e+001dB,-2.47913610811731e-002°)
1.39315680294529e-001	(6.68923952900889e+001dB,-2.48485110635846e-002°)
1.39636836105593e-001	(6.68923952863193e+001dB,-2.49057927902622e-002°)
1.39958732257261e-001	(6.68923952825321e+001dB,-2.49632065649068e-002°)
1.40281370456195e-001	(6.68923952787275e+001dB,-2.50207526919211e-002°)
1.40604752412990e-001	(6.68923952749054e+001dB,-2.50784314764080e-002°)
1.40928879842186e-001	(6.68923952710655e+001dB,-2.51362432241738e-002°)
1.41253754462274e-001	(6.68923952672080e+001dB,-2.51941882417309e-002°)
1.41579377995707e-001	(6.68923952633326e+001dB,-2.52522668362969e-002°)
1.41905752168908e-001	(6.68923952594365e+001dB,-2.53104793157902e-002°)
1.42232878712281e-001	(6.68923952555253e+001dB,-2.53688259888641e-002°)
1.42560759360218e-001	(6.68923952515960e+001dB,-2.54273071648573e-002°)
1.42889395851109e-001	(6.68923952476487e+001dB,-2.54859231538315e-002°)
1.43218789927353e-001	(6.68923952436831e+001dB,-2.55446742665619e-002°)
1.43548943335364e-001	(6.68923952396991e+001dB,-2.56035608145402e-002°)
1.43879857825583e-001	(6.68923952356969e+001dB,-2.56625831099773e-002°)
1.44211535152486e-001	(6.68923952316762e+001dB,-2.57217414658027e-002°)
1.44543977074591e-001	(6.68923952276368e+001dB,-2.57810361956672e-002°)
1.44877185354475e-001	(6.68923952235789e+001dB,-2.58404676139457e-002°)
1.45211161758773e-001	(6.68923952195021e+001dB,-2.59000360357365e-002°)
1.45545908058195e-001	(6.68923952154066e+001dB,-2.59597417768657e-002°)
1.45881426027534e-001	(6.68923952112922e+001dB,-2.60195851538863e-002°)
1.46217717445671e-001	(6.68923952071587e+001dB,-2.60795664840809e-002°)
1.46554784095590e-001	(6.68923952030063e+001dB,-2.61396860854649e-002°)
1.46892627764385e-001	(6.68923951988347e+001dB,-2.61999442767855e-002°)
1.47231250243271e-001	(6.68923951946437e+001dB,-2.62603413775247e-002°)
1.47570653327588e-001	(6.68923951904339e+001dB,-2.63208777079033e-002°)
1.47910838816819e-001	(6.68923951862041e+001dB,-2.63815535888753e-002°)
1.48251808514594e-001	(6.68923951819549e+001dB,-2.64423693421395e-002°)
1.48593564228699e-001	(6.68923951776862e+001dB,-2.65033252901342e-002°)
1.48936107771090e-001	(6.68923951733975e+001dB,-2.65644217560407e-002°)
1.49279440957898e-001	(6.68923951690893e+001dB,-2.66256590637866e-002°)
1.49623565609442e-001	(6.68923951647610e+001dB,-2.66870375380446e-002°)
1.49968483550236e-001	(6.68923951604128e+001dB,-2.67485575042377e-002°)
1.50314196609001e-001	(6.68923951560417e+001dB,-2.68102192885283e-002°)
1.50660706618673e-001	(6.68923951516531e+001dB,-2.68720232178585e-002°)
1.51008015416413e-001	(6.68923951472445e+001dB,-2.69339696198976e-002°)
1.51356124843619e-001	(6.68923951428154e+001dB,-2.69960588230779e-002°)
1.51705036745932e-001	(6.68923951383660e+001dB,-2.70582911565904e-002°)
1.52054752973248e-001	(6.68923951338960e+001dB,-2.71206669503838e-002°)
1.52405275379728e-001	(6.68923951294053e+001dB,-2.71831865351672e-002°)
1.52756605823806e-001	(6.68923951248940e+001dB,-2.72458502424136e-002°)
1.53108746168202e-001	(6.68923951203617e+001dB,-2.73086584043582e-002°)
1.53461698279928e-001	(6.68923951158087e+001dB,-2.73716113540039e-002°)
1.53815464030302e-001	(6.68923951112346e+001dB,-2.74347094251200e-002°)
1.54170045294954e-001	(6.68923951066393e+001dB,-2.74979529522450e-002°)
1.54525443953840e-001	(6.68923951020229e+001dB,-2.75613422706902e-002°)
1.54881661891247e-001	(6.68923950973850e+001dB,-2.76248777165379e-002°)
1.55238700995807e-001	(6.68923950927259e+001dB,-2.76885596266469e-002°)
1.55596563160506e-001	(6.68923950880452e+001dB,-2.77523883386509e-002°)
1.55955250282694e-001	(6.68923950833429e+001dB,-2.78163641909636e-002°)
1.56314764264094e-001	(6.68923950786190e+001dB,-2.78804875227775e-002°)
1.56675107010813e-001	(6.68923950738731e+001dB,-2.79447586740672e-002°)
1.57036280433354e-001	(6.68923950691059e+001dB,-2.80091779855931e-002°)
1.57398286446620e-001	(6.68923950643161e+001dB,-2.80737457988963e-002°)
1.57761126969933e-001	(6.68923950595044e+001dB,-2.81384624563102e-002°)
1.58124803927037e-001	(6.68923950546669e+001dB,-2.82033283009437e-002°)
1.58489319246110e-001	(6.68923950498106e+001dB,-2.82683436767311e-002°)
1.58854674859776e-001	(6.68923950449318e+001dB,-2.83335089283648e-002°)
1.59220872705115e-001	(6.68923950400306e+001dB,-2.83988244013449e-002°)
1.59587914723672e-001	(6.68923950351068e+001dB,-2.84642904419664e-002°)
1.59955802861465e-001	(6.68923950301601e+001dB,-2.85299073973224e-002°)
1.60324539069002e-001	(6.68923950251907e+001dB,-2.85956756153079e-002°)
1.60694125301286e-001	(6.68923950201982e+001dB,-2.86615954446178e-002°)
1.61064563517825e-001	(6.68923950151828e+001dB,-2.87276672347526e-002°)
1.61435855682647e-001	(6.68923950101442e+001dB,-2.87938913360168e-002°)
1.61808003764305e-001	(6.68923950050824e+001dB,-2.88602680995242e-002°)
1.62181009735891e-001	(6.68923949999971e+001dB,-2.89267978771961e-002°)
1.62554875575047e-001	(6.68923949948885e+001dB,-2.89934810217671e-002°)
1.62929603263970e-001	(6.68923949897562e+001dB,-2.90603178867828e-002°)
1.63305194789432e-001	(6.68923949846003e+001dB,-2.91273088266059e-002°)
1.63681652142779e-001	(6.68923949794205e+001dB,-2.91944541964140e-002°)
1.64058977319952e-001	(6.68923949742169e+001dB,-2.92617543522053e-002°)
1.64437172321491e-001	(6.68923949689891e+001dB,-2.93292096507970e-002°)
1.64816239152549e-001	(6.68923949637374e+001dB,-2.93968204498304e-002°)
1.65196179822900e-001	(6.68923949584613e+001dB,-2.94645871077696e-002°)
1.65576996346951e-001	(6.68923949531583e+001dB,-2.95325099838981e-002°)
1.65958690743754e-001	(6.68923949478339e+001dB,-2.96005894383538e-002°)
1.66341265037015e-001	(6.68923949424844e+001dB,-2.96688258320746e-002°)
1.66724721255104e-001	(6.68923949371103e+001dB,-2.97372195268446e-002°)
1.67109061431069e-001	(6.68923949317113e+001dB,-2.98057708852786e-002°)
1.67494287602642e-001	(6.68923949262875e+001dB,-2.98744802708292e-002°)
1.67880401812254e-001	(6.68923949208386e+001dB,-2.99433480477850e-002°)
1.68267406107045e-001	(6.68923949153646e+001dB,-3.00123745812763e-002°)
1.68655302538872e-001	(6.68923949098652e+001dB,-3.00815602372731e-002°)
1.69044093164324e-001	(6.68923949043406e+001dB,-3.01509053825910e-002°)
1.69433780044731e-001	(6.68923948987903e+001dB,-3.02204103848894e-002°)
1.69824365246172e-001	(6.68923948932145e+001dB,-3.02900756126768e-002°)
1.70215850839493e-001	(6.68923948876129e+001dB,-3.03599014353098e-002°)
1.70608238900310e-001	(6.68923948819854e+001dB,-3.04298882229974e-002°)
1.71001531509027e-001	(6.68923948763321e+001dB,-3.05000363468024e-002°)
1.71395730750840e-001	(6.68923948706526e+001dB,-3.05703461786412e-002°)
1.71790838715757e-001	(6.68923948649470e+001dB,-3.06408180912898e-002°)
1.72186857498599e-001	(6.68923948592149e+001dB,-3.07114524583813e-002°)
1.72583789199018e-001	(6.68923948534535e+001dB,-3.07822496544017e-002°)
1.72981635921508e-001	(6.68923948476683e+001dB,-3.08532100547300e-002°)
1.73380399775412e-001	(6.68923948418566e+001dB,-3.09243340355807e-002°)
1.73780082874935e-001	(6.68923948360180e+001dB,-3.09956219740442e-002°)
1.74180687339159e-001	(6.68923948301525e+001dB,-3.10670742480822e-002°)
1.74582215292048e-001	(6.68923948242602e+001dB,-3.11386912365269e-002°)
1.74984668862463e-001	(6.68923948183404e+001dB,-3.12104733190820e-002°)
1.75388050184174e-001	(6.68923948123932e+001dB,-3.12824208763283e-002°)
1.75792361395867e-001	(6.68923948064187e+001dB,-3.13545342897247e-002°)
1.76197604641161e-001	(6.68923948004165e+001dB,-3.14268139416074e-002°)
1.76603782068614e-001	(6.68923947943865e+001dB,-3.14992602151956e-002°)
1.77010895831740e-001	(6.68923947883289e+001dB,-3.15718734945917e-002°)
1.77418948089014e-001	(6.68923947822432e+001dB,-3.16446541647822e-002°)
1.77827941003890e-001	(6.68923947761295e+001dB,-3.17176026116430e-002°)
1.78237876744807e-001	(6.68923947699874e+001dB,-3.17907192219375e-002°)
1.78648757485203e-001	(6.68923947638172e+001dB,-3.18640043833229e-002°)
1.79060585403527e-001	(6.68923947576183e+001dB,-3.19374584843478e-002°)
1.79473362683250e-001	(6.68923947513882e+001dB,-3.20110819144484e-002°)
1.79887091512876e-001	(6.68923947451321e+001dB,-3.20848750639876e-002°)
1.80301774085954e-001	(6.68923947388470e+001dB,-3.21588383241976e-002°)
1.80717412601090e-001	(6.68923947325330e+001dB,-3.22329720872245e-002°)
1.81134009261958e-001	(6.68923947261898e+001dB,-3.23072767461160e-002°)
1.81551566277311e-001	(6.68923947198174e+001dB,-3.23817526948280e-002°)
1.81970085860996e-001	(6.68923947134154e+001dB,-3.24564003282226e-002°)
1.82389570231961e-001	(6.68923947069843e+001dB,-3.25312200420749e-002°)
1.82810021614272e-001	(6.68923947005233e+001dB,-3.26062122330685e-002°)
1.83231442237119e-001	(6.68923946940322e+001dB,-3.26813772988036e-002°)
1.83653834334832e-001	(6.68923946875114e+001dB,-3.27567156377981e-002°)
1.84077200146893e-001	(6.68923946809603e+001dB,-3.28322276494862e-002°)
1.84501541917945e-001	(6.68923946743790e+001dB,-3.29079137342247e-002°)
1.84926861897805e-001	(6.68923946677675e+001dB,-3.29837742932929e-002°)
1.85353162341479e-001	(6.68923946611253e+001dB,-3.30598097288939e-002°)
1.85780445509167e-001	(6.68923946544526e+001dB,-3.31360204441601e-002°)
1.86208713666284e-001	(6.68923946477455e+001dB,-3.32124068431381e-002°)
1.86637969083464e-001	(6.68923946410109e+001dB,-3.32889693308460e-002°)
1.87068214036577e-001	(6.68923946342454e+001dB,-3.33657083131972e-002°)
1.87499450806739e-001	(6.68923946274485e+001dB,-3.34426241970519e-002°)
1.87931681680324e-001	(6.68923946206202e+001dB,-3.35197173902100e-002°)
1.88364908948977e-001	(6.68923946137605e+001dB,-3.35969883014113e-002°)
1.88799134909627e-001	(6.68923946068690e+001dB,-3.36744373403362e-002°)
1.89234361864495e-001	(6.68923945999459e+001dB,-3.37520649176119e-002°)
1.89670592121112e-001	(6.68923945929907e+001dB,-3.38298714448098e-002°)
1.90107827992327e-001	(6.68923945860033e+001dB,-3.39078573344517e-002°)
1.90546071796322e-001	(6.68923945789843e+001dB,-3.39860230000119e-002°)
1.90985325856621e-001	(6.68923945719323e+001dB,-3.40643688559118e-002°)
1.91425592502106e-001	(6.68923945648477e+001dB,-3.41428953175342e-002°)
1.91866874067026e-001	(6.68923945577306e+001dB,-3.42216028012179e-002°)
1.92309172891013e-001	(6.68923945505805e+001dB,-3.43004917242599e-002°)
1.92752491319091e-001	(6.68923945433945e+001dB,-3.43795625049090e-002°)
1.93196831701689e-001	(6.68923945361784e+001dB,-3.44588155624134e-002°)
1.93642196394658e-001	(6.68923945289288e+001dB,-3.45382513169510e-002°)
1.94088587759275e-001	(6.68923945216458e+001dB,-3.46178701896814e-002°)
1.94536008162263e-001	(6.68923945143293e+001dB,-3.46976726027355e-002°)
1.94984459975802e-001	(6.68923945069789e+001dB,-3.47776589792152e-002°)
1.95433945577536e-001	(6.68923944995946e+001dB,-3.48578297431997e-002°)
1.95884467350596e-001	(6.68923944921763e+001dB,-3.49381853197457e-002°)
1.96336027683602e-001	(6.68923944847236e+001dB,-3.50187261348881e-002°)
1.96788628970681e-001	(6.68923944772366e+001dB,-3.50994526156456e-002°)
1.97242273611482e-001	(6.68923944697151e+001dB,-3.51803651900211e-002°)
1.97696964011183e-001	(6.68923944621591e+001dB,-3.52614642870043e-002°)
1.98152702580507e-001	(6.68923944545679e+001dB,-3.53427503365706e-002°)
1.98609491735734e-001	(6.68923944469392e+001dB,-3.54242237696808e-002°)
1.99067333898716e-001	(6.68923944392778e+001dB,-3.55058850183178e-002°)
1.99526231496885e-001	(6.68923944315810e+001dB,-3.55877345154299e-002°)
1.99986186963271e-001	(6.68923944238486e+001dB,-3.56697726949736e-002°)
2.00447202736513e-001	(6.68923944160807e+001dB,-3.57519999919065e-002°)
2.00909281260870e-001	(6.68923944082769e+001dB,-3.58344168421871e-002°)
2.01372424986236e-001	(6.68923944004369e+001dB,-3.59170236827804e-002°)
2.01836636368153e-001	(6.68923943925610e+001dB,-3.59998209516589e-002°)
2.02301917867824e-001	(6.68923943846486e+001dB,-3.60828090878030e-002°)
2.02768271952125e-001	(6.68923943766996e+001dB,-3.61659885312067e-002°)
2.03235701093619e-001	(6.68923943687139e+001dB,-3.62493597228776e-002°)
2.03704207770569e-001	(6.68923943606916e+001dB,-3.63329231048408e-002°)
2.04173794466950e-001	(6.68923943526320e+001dB,-3.64166791201384e-002°)
2.04644463672464e-001	(6.68923943445323e+001dB,-3.65006282128230e-002°)
2.05116217882553e-001	(6.68923943363985e+001dB,-3.65847708280096e-002°)
2.05589059598411e-001	(6.68923943282270e+001dB,-3.66691074117973e-002°)
2.06062991326997e-001	(6.68923943200176e+001dB,-3.67536384113294e-002°)
2.06538015581050e-001	(6.68923943117704e+001dB,-3.68383642747799e-002°)
2.07014134879101e-001	(6.68923943034850e+001dB,-3.69232854513553e-002°)
2.07491351745488e-001	(6.68923942951616e+001dB,-3.70084023912985e-002°)
2.07969668710366e-001	(6.68923942867996e+001dB,-3.70937155458883e-002°)
2.08449088309725e-001	(6.68923942783990e+001dB,-3.71792253674455e-002°)
2.08929613085400e-001	(6.68923942699596e+001dB,-3.72649323093333e-002°)
2.09411245585086e-001	(6.68923942614814e+001dB,-3.73508368259603e-002°)
2.09893988362349e-001	(6.68923942529640e+001dB,-3.74369393727811e-002°)
2.10377843976644e-001	(6.68923942444046e+001dB,-3.75232404062906e-002°)
2.10862814993325e-001	(6.68923942358083e+001dB,-3.76097403840691e-002°)
2.11348903983661e-001	(6.68923942271724e+001dB,-3.76964397647181e-002°)
2.11836113524847e-001	(6.68923942184971e+001dB,-3.77833390079098e-002°)
2.12324446200018e-001	(6.68923942097812e+001dB,-3.78704385743692e-002°)
2.12813904598267e-001	(6.68923942010251e+001dB,-3.79577389258902e-002°)
2.13304491314654e-001	(6.68923941922286e+001dB,-3.80452405253289e-002°)
2.13796208950219e-001	(6.68923941833915e+001dB,-3.81329438366085e-002°)
2.14289060112002e-001	(6.68923941745138e+001dB,-3.82208493247222e-002°)
2.14783047413050e-001	(6.68923941655949e+001dB,-3.83089574557332e-002°)
2.15278173472433e-001	(6.68923941566349e+001dB,-3.83972686967811e-002°)
2.15774440915263e-001	(6.68923941476335e+001dB,-3.84857835160814e-002°)
2.16271852372698e-001	(6.68923941385876e+001dB,-3.85745023829162e-002°)
2.16770410481966e-001	(6.68923941295029e+001dB,-3.86634257676887e-002°)
2.17270117886371e-001	(6.68923941203764e+001dB,-3.87525541418475e-002°)
2.17770977235312e-001	(6.68923941112051e+001dB,-3.88418879779279e-002°)
2.18272991184296e-001	(6.68923941019940e+001dB,-3.89314277495910e-002°)
2.18776162394951e-001	(6.68923940927408e+001dB,-3.90211739315562e-002°)
2.19280493535041e-001	(6.68923940834445e+001dB,-3.91111269996436e-002°)
2.19785987278478e-001	(6.68923940741053e+001dB,-3.92012874307754e-002°)
2.20292646305342e-001	(6.68923940647230e+001dB,-3.92916557029714e-002°)
2.20800473301886e-001	(6.68923940552976e+001dB,-3.93822322953541e-002°)
2.21309470960560e-001	(6.68923940458284e+001dB,-3.94730176881483e-002°)
2.21819641980018e-001	(6.68923940363126e+001dB,-3.95640123626745e-002°)
2.22330989065136e-001	(6.68923940267559e+001dB,-3.96552168014027e-002°)
2.22843514927026e-001	(6.68923940171551e+001dB,-3.97466314878744e-002°)
2.23357222283049e-001	(6.68923940075099e+001dB,-3.98382569067591e-002°)
2.23872113856830e-001	(6.68923939978202e+001dB,-3.99300935438439e-002°)
2.24388192378272e-001	(6.68923939880858e+001dB,-4.00221418860357e-002°)
2.24905460583574e-001	(6.68923939783066e+001dB,-4.01144024213643e-002°)
2.25423921215239e-001	(6.68923939684826e+001dB,-4.02068756389845e-002°)
2.25943577022094e-001	(6.68923939586127e+001dB,-4.02995620291752e-002°)
2.26464430759302e-001	(6.68923939486974e+001dB,-4.03924620833503e-002°)
2.26986485188378e-001	(6.68923939387332e+001dB,-4.04855762940408e-002°)
2.27509743077203e-001	(6.68923939287261e+001dB,-4.05789051549547e-002°)
