Freq.	V(n001)/-I(I2)
1.21898959892486e-001	(1.19299546006979e+002dB,-1.02062737043526e-003°)
1.22179966016487e-001	(1.19299546006496e+002dB,-1.02298015707670e-003°)
1.22461619926504e-001	(1.19299546006010e+002dB,-1.02533836743459e-003°)
1.22743923115840e-001	(1.19299546005521e+002dB,-1.02770201401196e-003°)
1.23026877081238e-001	(1.19299546005031e+002dB,-1.03007110934045e-003°)
1.23310483322890e-001	(1.19299546004538e+002dB,-1.03244566598004e-003°)
1.23594743344450e-001	(1.19299546004043e+002dB,-1.03482569652108e-003°)
1.23879658653036e-001	(1.19299546003546e+002dB,-1.03721121358119e-003°)
1.24165230759240e-001	(1.19299546003046e+002dB,-1.03960222980878e-003°)
1.24451461177138e-001	(1.19299546002544e+002dB,-1.04199875788014e-003°)
1.24738351424294e-001	(1.19299546002040e+002dB,-1.04440081050174e-003°)
1.25025903021771e-001	(1.19299546001534e+002dB,-1.04680840040821e-003°)
1.25314117494141e-001	(1.19299546001025e+002dB,-1.04922154036468e-003°)
1.25602996369487e-001	(1.19299546000513e+002dB,-1.05164024316505e-003°)
1.25892541179416e-001	(1.19299546000000e+002dB,-1.05406452163286e-003°)
1.26182753459066e-001	(1.19299545999484e+002dB,-1.05649438862108e-003°)
1.26473634747114e-001	(1.19299545998966e+002dB,-1.05892985701275e-003°)
1.26765186585784e-001	(1.19299545998445e+002dB,-1.06137093972018e-003°)
1.27057410520853e-001	(1.19299545997922e+002dB,-1.06381764968539e-003°)
1.27350308101665e-001	(1.19299545997396e+002dB,-1.06626999988058e-003°)
1.27643880881134e-001	(1.19299545996868e+002dB,-1.06872800330770e-003°)
1.27938130415752e-001	(1.19299545996338e+002dB,-1.07119167299899e-003°)
1.28233058265601e-001	(1.19299545995805e+002dB,-1.07366102201607e-003°)
1.28528665994361e-001	(1.19299545995270e+002dB,-1.07613606345069e-003°)
1.28824955169313e-001	(1.19299545994732e+002dB,-1.07861681042557e-003°)
1.29121927361353e-001	(1.19299545994191e+002dB,-1.08110327609288e-003°)
1.29419584144998e-001	(1.19299545993649e+002dB,-1.08359547363575e-003°)
1.29717927098395e-001	(1.19299545993103e+002dB,-1.08609341626707e-003°)
1.30016957803328e-001	(1.19299545992556e+002dB,-1.08859711723097e-003°)
1.30316677845229e-001	(1.19299545992005e+002dB,-1.09110658980100e-003°)
1.30617088813183e-001	(1.19299545991452e+002dB,-1.09362184728209e-003°)
1.30918192299940e-001	(1.19299545990897e+002dB,-1.09614290301020e-003°)
1.31219989901919e-001	(1.19299545990339e+002dB,-1.09866977035153e-003°)
1.31522483219223e-001	(1.19299545989779e+002dB,-1.10120246270242e-003°)
1.31825673855640e-001	(1.19299545989215e+002dB,-1.10374099349098e-003°)
1.32129563418657e-001	(1.19299545988650e+002dB,-1.10628537617611e-003°)
1.32434153519466e-001	(1.19299545988081e+002dB,-1.10883562424790e-003°)
1.32739445772973e-001	(1.19299545987510e+002dB,-1.11139175122698e-003°)
1.33045441797808e-001	(1.19299545986937e+002dB,-1.11395377066565e-003°)
1.33352143216331e-001	(1.19299545986360e+002dB,-1.11652169614779e-003°)
1.33659551654643e-001	(1.19299545985782e+002dB,-1.11909554128706e-003°)
1.33967668742593e-001	(1.19299545985200e+002dB,-1.12167531973040e-003°)
1.34276496113785e-001	(1.19299545984616e+002dB,-1.12426104515428e-003°)
1.34586035405594e-001	(1.19299545984029e+002dB,-1.12685273126932e-003°)
1.34896288259164e-001	(1.19299545983439e+002dB,-1.12945039181478e-003°)
1.35207256319427e-001	(1.19299545982847e+002dB,-1.13205404056352e-003°)
1.35518941235103e-001	(1.19299545982251e+002dB,-1.13466369131996e-003°)
1.35831344658714e-001	(1.19299545981654e+002dB,-1.13727935791947e-003°)
1.36144468246594e-001	(1.19299545981053e+002dB,-1.13990105423021e-003°)
1.36458313658891e-001	(1.19299545980450e+002dB,-1.14252879415104e-003°)
1.36772882559584e-001	(1.19299545979843e+002dB,-1.14516259161504e-003°)
1.37088176616484e-001	(1.19299545979234e+002dB,-1.14780246058534e-003°)
1.37404197501250e-001	(1.19299545978623e+002dB,-1.15044841505860e-003°)
1.37720946889394e-001	(1.19299545978008e+002dB,-1.15310046906249e-003°)
1.38038426460287e-001	(1.19299545977390e+002dB,-1.15575863665826e-003°)
1.38356637897177e-001	(1.19299545976770e+002dB,-1.15842293193918e-003°)
1.38675582887188e-001	(1.19299545976147e+002dB,-1.16109336902998e-003°)
1.38995263121334e-001	(1.19299545975521e+002dB,-1.16376996208935e-003°)
1.39315680294529e-001	(1.19299545974892e+002dB,-1.16645272530810e-003°)
1.39636836105593e-001	(1.19299545974260e+002dB,-1.16914167291028e-003°)
1.39958732257261e-001	(1.19299545973625e+002dB,-1.17183681915111e-003°)
1.40281370456195e-001	(1.19299545972988e+002dB,-1.17453817832031e-003°)
1.40604752412990e-001	(1.19299545972347e+002dB,-1.17724576474031e-003°)
1.40928879842186e-001	(1.19299545971703e+002dB,-1.17995959276554e-003°)
1.41253754462274e-001	(1.19299545971057e+002dB,-1.18267967678473e-003°)
1.41579377995707e-001	(1.19299545970407e+002dB,-1.18540603121909e-003°)
1.41905752168908e-001	(1.19299545969755e+002dB,-1.18813867052304e-003°)
1.42232878712281e-001	(1.19299545969099e+002dB,-1.19087760918489e-003°)
1.42560759360218e-001	(1.19299545968441e+002dB,-1.19362286172580e-003°)
1.42889395851109e-001	(1.19299545967779e+002dB,-1.19637444270094e-003°)
1.43218789927353e-001	(1.19299545967114e+002dB,-1.19913236669776e-003°)
1.43548943335364e-001	(1.19299545966446e+002dB,-1.20189664833885e-003°)
1.43879857825583e-001	(1.19299545965776e+002dB,-1.20466730228016e-003°)
1.44211535152486e-001	(1.19299545965102e+002dB,-1.20744434321049e-003°)
1.44543977074591e-001	(1.19299545964425e+002dB,-1.21022778585373e-003°)
1.44877185354475e-001	(1.19299545963745e+002dB,-1.21301764496698e-003°)
1.45211161758773e-001	(1.19299545963061e+002dB,-1.21581393534153e-003°)
1.45545908058195e-001	(1.19299545962375e+002dB,-1.21861667180279e-003°)
1.45881426027534e-001	(1.19299545961685e+002dB,-1.22142586921049e-003°)
1.46217717445671e-001	(1.19299545960992e+002dB,-1.22424154245791e-003°)
1.46554784095590e-001	(1.19299545960296e+002dB,-1.22706370647376e-003°)
1.46892627764385e-001	(1.19299545959597e+002dB,-1.22989237622042e-003°)
1.47231250243271e-001	(1.19299545958895e+002dB,-1.23272756669494e-003°)
1.47570653327588e-001	(1.19299545958189e+002dB,-1.23556929292882e-003°)
1.47910838816819e-001	(1.19299545957480e+002dB,-1.23841756998860e-003°)
1.48251808514594e-001	(1.19299545956768e+002dB,-1.24127241297515e-003°)
1.48593564228699e-001	(1.19299545956052e+002dB,-1.24413383702410e-003°)
1.48936107771090e-001	(1.19299545955333e+002dB,-1.24700185730673e-003°)
1.49279440957898e-001	(1.19299545954611e+002dB,-1.24987648902795e-003°)
1.49623565609442e-001	(1.19299545953886e+002dB,-1.25275774742926e-003°)
1.49968483550236e-001	(1.19299545953157e+002dB,-1.25564564778614e-003°)
1.50314196609001e-001	(1.19299545952373e+002dB,-1.25854020476834e-003°)
1.50660706618673e-001	(1.19299545951638e+002dB,-1.26144143500300e-003°)
1.51008015416413e-001	(1.19299545950899e+002dB,-1.26434935323298e-003°)
1.51356124843619e-001	(1.19299545950156e+002dB,-1.26726397487434e-003°)
1.51705036745932e-001	(1.19299545949410e+002dB,-1.27018531538077e-003°)
1.52054752973248e-001	(1.19299545948661e+002dB,-1.27311339024005e-003°)
1.52405275379728e-001	(1.19299545947909e+002dB,-1.27604821497625e-003°)
1.52756605823806e-001	(1.19299545947152e+002dB,-1.27898980514979e-003°)
1.53108746168202e-001	(1.19299545946393e+002dB,-1.28193817635562e-003°)
1.53461698279928e-001	(1.19299545945630e+002dB,-1.28489334422580e-003°)
1.53815464030302e-001	(1.19299545944863e+002dB,-1.28785532442859e-003°)
1.54170045294954e-001	(1.19299545944093e+002dB,-1.29082413266672e-003°)
1.54525443953840e-001	(1.19299545943319e+002dB,-1.29379978468085e-003°)
1.54881661891247e-001	(1.19299545942542e+002dB,-1.29678229624714e-003°)
1.55238700995807e-001	(1.19299545941761e+002dB,-1.29977168317827e-003°)
1.55596563160506e-001	(1.19299545940976e+002dB,-1.30276796132354e-003°)
1.55955250282694e-001	(1.19299545940188e+002dB,-1.30577114656821e-003°)
1.56314764264094e-001	(1.19299545939396e+002dB,-1.30878125483494e-003°)
1.56675107010813e-001	(1.19299545938601e+002dB,-1.31179830208210e-003°)
1.57036280433354e-001	(1.19299545937802e+002dB,-1.31482230430584e-003°)
1.57398286446620e-001	(1.19299545936999e+002dB,-1.31785327753901e-003°)
1.57761126969933e-001	(1.19299545936192e+002dB,-1.32089123785119e-003°)
1.58124803927037e-001	(1.19299545935382e+002dB,-1.32393620134860e-003°)
1.58489319246110e-001	(1.19299545934568e+002dB,-1.32698818417541e-003°)
1.58854674859776e-001	(1.19299545933750e+002dB,-1.33004720251183e-003°)
1.59220872705115e-001	(1.19299545932929e+002dB,-1.33311327257724e-003°)
1.59587914723672e-001	(1.19299545932103e+002dB,-1.33618641062674e-003°)
1.59955802861465e-001	(1.19299545931274e+002dB,-1.33926663295305e-003°)
1.60324539069002e-001	(1.19299545930441e+002dB,-1.34235395588788e-003°)
1.60694125301286e-001	(1.19299545929605e+002dB,-1.34544839579833e-003°)
1.61064563517825e-001	(1.19299545928764e+002dB,-1.34854996909127e-003°)
1.61435855682647e-001	(1.19299545927919e+002dB,-1.35165869221059e-003°)
1.61808003764305e-001	(1.19299545927071e+002dB,-1.35477458163745e-003°)
1.62181009735891e-001	(1.19299545926219e+002dB,-1.35789765389266e-003°)
1.62554875575047e-001	(1.19299545925362e+002dB,-1.36102792553305e-003°)
1.62929603263970e-001	(1.19299545924502e+002dB,-1.36416541315483e-003°)
1.63305194789432e-001	(1.19299545923638e+002dB,-1.36731013339272e-003°)
1.63681652142779e-001	(1.19299545922770e+002dB,-1.37046210291912e-003°)
1.64058977319952e-001	(1.19299545921897e+002dB,-1.37362133844529e-003°)
1.64437172321491e-001	(1.19299545921021e+002dB,-1.37678785672047e-003°)
1.64816239152549e-001	(1.19299545920141e+002dB,-1.37996167453271e-003°)
1.65196179822900e-001	(1.19299545919257e+002dB,-1.38314280870939e-003°)
1.65576996346951e-001	(1.19299545918368e+002dB,-1.38633127611595e-003°)
1.65958690743754e-001	(1.19299545917476e+002dB,-1.38952709365760e-003°)
1.66341265037015e-001	(1.19299545916579e+002dB,-1.39273027827615e-003°)
1.66724721255104e-001	(1.19299545915678e+002dB,-1.39594084695588e-003°)
1.67109061431069e-001	(1.19299545914773e+002dB,-1.39915881671767e-003°)
1.67494287602642e-001	(1.19299545913864e+002dB,-1.40238420462267e-003°)
1.67880401812254e-001	(1.19299545912951e+002dB,-1.40561702777118e-003°)
1.68267406107045e-001	(1.19299545912033e+002dB,-1.40885730330312e-003°)
1.68655302538872e-001	(1.19299545911112e+002dB,-1.41210504839727e-003°)
1.69044093164324e-001	(1.19299545910186e+002dB,-1.41536028027229e-003°)
1.69433780044731e-001	(1.19299545909255e+002dB,-1.41862301618787e-003°)
1.69824365246172e-001	(1.19299545908321e+002dB,-1.42189327344104e-003°)
1.70215850839493e-001	(1.19299545907382e+002dB,-1.42517106937041e-003°)
1.70608238900310e-001	(1.19299545906439e+002dB,-1.42845642135433e-003°)
1.71001531509027e-001	(1.19299545905491e+002dB,-1.43174934681054e-003°)
1.71395730750840e-001	(1.19299545904539e+002dB,-1.43504986319738e-003°)
1.71790838715757e-001	(1.19299545903583e+002dB,-1.43835798801410e-003°)
1.72186857498599e-001	(1.19299545902622e+002dB,-1.44167373879917e-003°)
1.72583789199018e-001	(1.19299545901657e+002dB,-1.44499713313172e-003°)
1.72981635921508e-001	(1.19299545900687e+002dB,-1.44832818863228e-003°)
1.73380399775412e-001	(1.19299545899713e+002dB,-1.45166692296046e-003°)
1.73780082874935e-001	(1.19299545898734e+002dB,-1.45501335381766e-003°)
1.74180687339159e-001	(1.19299545897751e+002dB,-1.45836749894640e-003°)
1.74582215292048e-001	(1.19299545896764e+002dB,-1.46172937612943e-003°)
1.74984668862463e-001	(1.19299545895771e+002dB,-1.46509900319027e-003°)
1.75388050184174e-001	(1.19299545894775e+002dB,-1.46847639799389e-003°)
1.75792361395867e-001	(1.19299545893773e+002dB,-1.47186157844756e-003°)
1.76197604641161e-001	(1.19299545892767e+002dB,-1.47525456249714e-003°)
1.76603782068614e-001	(1.19299545891756e+002dB,-1.47865536813211e-003°)
1.77010895831740e-001	(1.19299545890741e+002dB,-1.48206401338294e-003°)
1.77418948089014e-001	(1.19299545889721e+002dB,-1.48548051632080e-003°)
1.77827941003890e-001	(1.19299545888696e+002dB,-1.48890489506029e-003°)
1.78237876744807e-001	(1.19299545887667e+002dB,-1.49233716775538e-003°)
1.78648757485203e-001	(1.19299545886633e+002dB,-1.49577735260390e-003°)
1.79060585403527e-001	(1.19299545885594e+002dB,-1.49922546784474e-003°)
1.79473362683250e-001	(1.19299545884550e+002dB,-1.50268153175921e-003°)
1.79887091512876e-001	(1.19299545883501e+002dB,-1.50614556267029e-003°)
1.80301774085954e-001	(1.19299545882448e+002dB,-1.50961757894319e-003°)
1.80717412601090e-001	(1.19299545881389e+002dB,-1.51309759898595e-003°)
1.81134009261958e-001	(1.19299545880326e+002dB,-1.51658564124878e-003°)
1.81551566277311e-001	(1.19299545879258e+002dB,-1.52008172422490e-003°)
1.81970085860996e-001	(1.19299545878185e+002dB,-1.52358586644873e-003°)
1.82389570231961e-001	(1.19299545877107e+002dB,-1.52709808649887e-003°)
1.82810021614272e-001	(1.19299545876024e+002dB,-1.53061840299607e-003°)
1.83231442237119e-001	(1.19299545874936e+002dB,-1.53414683460496e-003°)
1.83653834334832e-001	(1.19299545873843e+002dB,-1.53768340003133e-003°)
1.84077200146893e-001	(1.19299545872745e+002dB,-1.54122811802587e-003°)
1.84501541917945e-001	(1.19299545871642e+002dB,-1.54478100738109e-003°)
1.84926861897805e-001	(1.19299545870534e+002dB,-1.54834208693469e-003°)
1.85353162341479e-001	(1.19299545869421e+002dB,-1.55191137556545e-003°)
1.85780445509167e-001	(1.19299545868302e+002dB,-1.55548889219755e-003°)
1.86208713666284e-001	(1.19299545867179e+002dB,-1.55907465579761e-003°)
1.86637969083464e-001	(1.19299545866050e+002dB,-1.56266868537691e-003°)
1.87068214036577e-001	(1.19299545864916e+002dB,-1.56627099998970e-003°)
1.87499450806739e-001	(1.19299545863777e+002dB,-1.56988161873462e-003°)
1.87931681680324e-001	(1.19299545862632e+002dB,-1.57350056075408e-003°)
1.88364908948977e-001	(1.19299545861482e+002dB,-1.57712784523575e-003°)
1.88799134909627e-001	(1.19299545860327e+002dB,-1.58076349140937e-003°)
1.89234361864495e-001	(1.19299545859167e+002dB,-1.58440751855116e-003°)
1.89670592121112e-001	(1.19299545858001e+002dB,-1.58805994597985e-003°)
1.90107827992327e-001	(1.19299545856830e+002dB,-1.59172079305990e-003°)
1.90546071796322e-001	(1.19299545855653e+002dB,-1.59539007920140e-003°)
1.90985325856621e-001	(1.19299545854471e+002dB,-1.59906782385601e-003°)
1.91425592502106e-001	(1.19299545853284e+002dB,-1.60275404652386e-003°)
1.91866874067026e-001	(1.19299545852091e+002dB,-1.60644876674690e-003°)
1.92309172891013e-001	(1.19299545850892e+002dB,-1.61015200411502e-003°)
1.92752491319091e-001	(1.19299545849688e+002dB,-1.61386377826017e-003°)
1.93196831701689e-001	(1.19299545848479e+002dB,-1.61758410886277e-003°)
1.93642196394658e-001	(1.19299545847264e+002dB,-1.62131301564688e-003°)
1.94088587759275e-001	(1.19299545846043e+002dB,-1.62505051838067e-003°)
1.94536008162263e-001	(1.19299545844817e+002dB,-1.62879663688163e-003°)
1.94984459975802e-001	(1.19299545843585e+002dB,-1.63255139100820e-003°)
1.95433945577536e-001	(1.19299545842347e+002dB,-1.63631480066864e-003°)
1.95884467350596e-001	(1.19299545841104e+002dB,-1.64008688581539e-003°)
1.96336027683602e-001	(1.19299545839854e+002dB,-1.64386766644637e-003°)
1.96788628970681e-001	(1.19299545838600e+002dB,-1.64765716260724e-003°)
1.97242273611482e-001	(1.19299545837339e+002dB,-1.65145539438866e-003°)
1.97696964011183e-001	(1.19299545836072e+002dB,-1.65526238192731e-003°)
1.98152702580507e-001	(1.19299545834800e+002dB,-1.65907814540680e-003°)
1.98609491735734e-001	(1.19299545833522e+002dB,-1.66290270505753e-003°)
1.99067333898716e-001	(1.19299545832238e+002dB,-1.66673608115651e-003°)
1.99526231496885e-001	(1.19299545830947e+002dB,-1.67057829402726e-003°)
1.99986186963271e-001	(1.19299545829651e+002dB,-1.67442936403911e-003°)
2.00447202736513e-001	(1.19299545828349e+002dB,-1.67828931161091e-003°)
2.00909281260870e-001	(1.19299545827041e+002dB,-1.68215815720582e-003°)
2.01372424986236e-001	(1.19299545825727e+002dB,-1.68603592133602e-003°)
2.01836636368153e-001	(1.19299545824407e+002dB,-1.68992262455988e-003°)
2.02301917867824e-001	(1.19299545823081e+002dB,-1.69381828748388e-003°)
2.02768271952125e-001	(1.19299545821749e+002dB,-1.69772293076225e-003°)
2.03235701093619e-001	(1.19299545820410e+002dB,-1.70163657509528e-003°)
2.03704207770569e-001	(1.19299545819066e+002dB,-1.70555924123331e-003°)
2.04173794466950e-001	(1.19299545817715e+002dB,-1.70949094997138e-003°)
2.04644463672464e-001	(1.19299545816358e+002dB,-1.71343172215594e-003°)
2.05116217882553e-001	(1.19299545814994e+002dB,-1.71738157867865e-003°)
2.05589059598411e-001	(1.19299545813624e+002dB,-1.72134054048190e-003°)
2.06062991326997e-001	(1.19299545812248e+002dB,-1.72530862855393e-003°)
2.06538015581050e-001	(1.19299545810866e+002dB,-1.72928586393240e-003°)
2.07014134879101e-001	(1.19299545809477e+002dB,-1.73327226770427e-003°)
2.07491351745488e-001	(1.19299545808082e+002dB,-1.73726786100350e-003°)
2.07969668710366e-001	(1.19299545806681e+002dB,-1.74127266501358e-003°)
2.08449088309725e-001	(1.19299545805273e+002dB,-1.74528670096715e-003°)
2.08929613085400e-001	(1.19299545803858e+002dB,-1.74930999014557e-003°)
2.09411245585086e-001	(1.19299545802437e+002dB,-1.75334255387897e-003°)
2.09893988362349e-001	(1.19299545801009e+002dB,-1.75738441354655e-003°)
2.10377843976644e-001	(1.19299545799575e+002dB,-1.76143559057786e-003°)
2.10862814993325e-001	(1.19299545798134e+002dB,-1.76549610645024e-003°)
2.11348903983661e-001	(1.19299545796687e+002dB,-1.76956598269189e-003°)
2.11836113524847e-001	(1.19299545795233e+002dB,-1.77364524087982e-003°)
2.12324446200018e-001	(1.19299545793772e+002dB,-1.77773390264058e-003°)
2.12813904598267e-001	(1.19299545792304e+002dB,-1.78183198965141e-003°)
2.13304491314654e-001	(1.19299545790830e+002dB,-1.78593952363977e-003°)
2.13796208950219e-001	(1.19299545789349e+002dB,-1.79005652638176e-003°)
2.14289060112002e-001	(1.19299545787861e+002dB,-1.79418301970476e-003°)
2.14783047413050e-001	(1.19299545786366e+002dB,-1.79831902548619e-003°)
2.15278173472433e-001	(1.19299545784864e+002dB,-1.80246456565417e-003°)
2.15774440915263e-001	(1.19299545783355e+002dB,-1.80661966218627e-003°)
2.16271852372698e-001	(1.19299545781839e+002dB,-1.81078433711192e-003°)
2.16770410481966e-001	(1.19299545780317e+002dB,-1.81495861251159e-003°)
2.17270117886371e-001	(1.19299545778787e+002dB,-1.81914251051610e-003°)
2.17770977235312e-001	(1.19299545777250e+002dB,-1.82333605330610e-003°)
2.18272991184296e-001	(1.19299545775706e+002dB,-1.82753926311499e-003°)
2.18776162394951e-001	(1.19299545774155e+002dB,-1.83175216222662e-003°)
2.19280493535041e-001	(1.19299545772597e+002dB,-1.83597477297760e-003°)
2.19785987278478e-001	(1.19299545771032e+002dB,-1.84020711775300e-003°)
2.20292646305342e-001	(1.19299545769459e+002dB,-1.84444921899264e-003°)
2.20800473301886e-001	(1.19299545767879e+002dB,-1.84870109918773e-003°)
2.21309470960560e-001	(1.19299545766292e+002dB,-1.85296278087843e-003°)
2.21819641980018e-001	(1.19299545764698e+002dB,-1.85723428665940e-003°)
2.22330989065136e-001	(1.19299545763096e+002dB,-1.86151563917795e-003°)
2.22843514927026e-001	(1.19299545761487e+002dB,-1.86580686113075e-003°)
2.23357222283049e-001	(1.19299545759870e+002dB,-1.87010797526932e-003°)
2.23872113856830e-001	(1.19299545758246e+002dB,-1.87441900439768e-003°)
2.24388192378272e-001	(1.19299545756614e+002dB,-1.87873997136959e-003°)
2.24905460583574e-001	(1.19299545754975e+002dB,-1.88307089909499e-003°)
2.25423921215239e-001	(1.19299545753329e+002dB,-1.88741181053513e-003°)
2.25943577022094e-001	(1.19299545751674e+002dB,-1.89176272870299e-003°)
2.26464430759302e-001	(1.19299545750012e+002dB,-1.89612367666599e-003°)
2.26986485188378e-001	(1.19299545748343e+002dB,-1.90049467754514e-003°)
2.27509743077203e-001	(1.19299545746665e+002dB,-1.90487575451387e-003°)
